name,expiry,value,maxBid
xn--wp8hn1a,22/08/2027 00:49:06,0.0,0.41
fishtrick,17/02/2027 07:17:54,0.794,6.0
cometfish,17/02/2027 07:17:54,0.0,3.0
xn--mt8hkx,22/08/2027 00:49:06,7.77,11.0
fishyfish,17/02/2027 07:17:54,2.52,30.0
fishessence,20/03/2026 11:37:06,0.0,0.101
rf12,17/02/2027 07:17:54,0.0,17.0
furryheads,17/02/2027 07:17:54,0.0,0.0
freemathlessons,17/02/2027 07:17:54,0.4,1.0
mray,17/02/2027 07:17:54,3.6,12.0
allmyfriendsarefish,17/02/2027 07:17:54,3.0,5.0
osaur,17/02/2027 07:17:54,22.0,25.0
snowshoerabbit,17/02/2027 07:17:54,0.0,1.0
5starpizza,18/12/2027 08:58:42,0.0,1.0
rayfish,30/03/2026 09:27:30,0.0,0.0
purpleflash,17/02/2027 07:17:54,10.0,11.0
rayoso,17/02/2027 07:17:54,0.40378,0.5
rabbitfish,17/02/2027 07:17:54,0.02,1.0
xn--hs8h82f,22/08/2027 00:49:06,2.99,10.01
ufern,19/02/2027 02:44:18,0.0,0.0
sharkarmy,17/02/2027 07:17:54,1.0,4.0
wierdfish,30/03/2026 10:39:30,0.0,1.0
andfish,17/02/2027 07:17:54,6.0,17.0
november09,22/08/2027 00:49:06,1.73,7.0
fishcarrier,20/03/2026 11:37:06,0.0,0.101
cuttyshark,17/02/2027 07:17:54,0.0,4.0
raykin,17/02/2027 07:17:54,0.40378,5.5
xn--4o8hqha,17/02/2027 07:17:54,0.410001,4.0
91112,17/02/2027 07:17:54,0.6,17.0
imray,17/02/2027 07:17:54,0.40378,5.0
bunnyhat,17/02/2027 07:17:54,0.0,11.0
sage-rabbit,17/02/2027 07:17:54,1.0,1.1
sharkswim,22/08/2027 00:49:06,0.0,1.0
rjnft,17/02/2027 07:17:54,0.0,14.0
fishchecker,20/03/2026 11:37:06,0.0,0.101
wobblingjellyfish,17/02/2027 07:17:54,0.0,1.0
ar-j,17/02/2027 07:17:54,0.0,0.6307
flyingdino,17/02/2027 07:17:54,0.0,3.0
raymondjohn,22/08/2027 00:49:06,0.0,75.0
allbunny,17/02/2027 07:17:54,0.02,5.1
taiquandao,07/08/2026 04:53:54,0.01,4.0
rayzone,13/12/2027 18:20:18,1.01,24.0
sancturay,17/02/2027 07:17:54,1.0,7.0
fishvideos,13/12/2027 18:20:18,0.0,1.0
teampurple,17/02/2027 07:17:54,0.902,1.0
rabiti,17/02/2027 07:17:54,0.40378,1.0
fishfeeding,13/12/2027 18:20:18,0.0,7.0
sunrayz,17/02/2027 07:17:54,0.0,0.25
fishyfushy,17/02/2027 07:17:54,1.63,7.0
xn--ictt6g,17/02/2027 07:17:54,1.01,1.1
fishblooded,20/03/2026 11:37:06,0.0,0.101
pinfish,17/02/2027 07:17:54,0.0,2.0
xn--iq9hec,22/08/2027 00:49:06,8.0,25.0
sunrayplay,17/02/2027 07:17:54,0.0,5.0
fishcreek,23/11/2026 14:15:30,0.4049,1.0
troutlike,17/02/2027 07:17:54,0.0,8.0
raymondcorp,22/08/2027 00:49:06,0.01,0.5
xn--5r8hpw,22/08/2027 00:49:06,0.0,0.41
bunnylife,17/02/2027 07:17:54,0.0,3.0
jellybunny,17/02/2027 07:17:54,0.0,6.0
fisherysalt,20/03/2026 11:37:06,0.0,0.101
wetpets,17/02/2027 07:17:54,0.0,0.1
arjayef,22/08/2027 00:49:06,15.0,45.0
trente,17/02/2027 07:17:54,0.5,0.51
xn--no8h7a,17/02/2027 07:17:54,4.001,7.0
xn--hs8h52f,22/08/2027 00:49:06,2.99,10.01
rabbitone,17/02/2027 07:17:54,0.0,0.4
sharkspecies,17/02/2027 07:17:54,0.0,1.0
12911,17/02/2027 07:17:54,0.4,14.0
rayion,22/08/2027 00:49:06,0.01,3.5